field_name,field_type,label,required,help_text,category,options,placeholder
first_name,text,First Name,true,Enter your legal first name,Personal Information,,
last_name,text,Last Name,true,Enter your legal last name,Personal Information,,
middle_name,text,Middle Name,false,Optional middle name or initial,Personal Information,,
email,email,Email Address,true,Primary contact email,Contact Information,,your.email@example.com
phone,tel,Phone Number,true,Include area code,Contact Information,,(555) 123-4567
date_of_birth,date,Date of Birth,true,MM/DD/YYYY format,Personal Information,,
ssn_last_4,text,Last 4 digits of SSN,true,For identification purposes,Personal Information,,
street_address,text,Street Address,true,Residential address,Contact Information,,
city,text,City,true,,Contact Information,,
state,select,State,true,Select your state,Contact Information,"Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia",
zip_code,text,ZIP Code,true,5-digit ZIP code,Contact Information,,
medical_degree,text,Medical Degree,true,e.g. MD or DO,Education,,
medical_school,text,Medical School,true,Name of institution,Education,,
graduation_date,date,Graduation Date,true,Date you graduated from medical school,Education,,
specialty,select,Medical Specialty,true,Select your primary specialty,Professional Background,"Family Medicine,Internal Medicine,Pediatrics,Surgery,Emergency Medicine,Psychiatry,Other",
board_certified,radio,Are you board certified?,true,Required for licensure,Professional Background,"Yes,No",
years_experience,number,Years of Clinical Experience,true,Total years in practice,Professional Background,,
usmle_step1,number,USMLE Step 1 Score,false,If applicable,Examination,,
usmle_step2,number,USMLE Step 2 CK Score,false,If applicable,Examination,,
usmle_step3,number,USMLE Step 3 Score,false,If applicable,Examination,,
malpractice_insurance,radio,Do you have malpractice insurance?,true,Required disclosure,Compliance & Declarations,"Yes,No",
malpractice_claims,radio,Have you ever had a malpractice claim?,true,Required disclosure,Compliance & Declarations,"Yes,No",
license_revoked,radio,Has any medical license ever been revoked or suspended?,true,Required disclosure,Compliance & Declarations,"Yes,No",
felony_conviction,radio,Have you ever been convicted of a felony?,true,Required disclosure,Compliance & Declarations,"Yes,No",
military_service,checkbox,Are you a military veteran?,false,Check if yes for fee waiver eligibility,Fee Waivers,,
military_spouse,checkbox,Are you a military spouse?,false,Check if yes for fee waiver eligibility,Fee Waivers,,
attestation,checkbox,I certify that all information provided is true and accurate,true,Required certification,Compliance & Declarations,,
additional_info,textarea,Additional Information,false,Any other relevant information you would like to provide,Other,,

